orden,DELITO,ART. CP,TIPO DE PENA,AÑOS PENA,VALORACIÓN ASIGNADA
299,Delitos contra la propiedad - Defraudaciones - Abuso de firma en blanco,173 inc 4,Prisión,1m - 6a,450
300,Delitos contra la propiedad - Defraudaciones - Hurto impropio,173 inc 5,Prisión,1m - 6a,450
301,Delitos contra la propiedad - Defraudaciones - Defraudación por contrato simulado y falsos recibos,173 inc6,Prisión,1m - 6m,450
303,Delitos contra la propiedad - Defraudaciones - Supresión de documentos,art.173 inc. 8,Prisión,1m - 6a,450
304,Delitos contra la propiedad - Defraudaciones - Estelionato,art. 173 inc. 9,Prisión,1m - 6a,450
305,Delitos contra la propiedad - Defraudaciones - Remuneración pretextada a un juez o funcionario,art. 173 inc. 10,Prisión,1m - 6a,450
306,Delitos contra la propiedad - Defraudaciones - Desbaratamiento de derechos acordados,art. 173 inc. 11,Prisión,1m - 6a,450
308,Delitos contra la propiedad - Defraudaciones agravadas - Estafa de seguros,art. 174 inc. 1,Prisión,2a - 6a,450
309,Delitos contra la propiedad - Defraudaciones agravadas - Circunvención de incapaces,art. 174 inc. 2,Prisión,2a - 6a,450
310,Delitos contra la propiedad - Defraudaciones agravadas - Defraudación por uso de pesas y medidas falsas,art. 174 inc. 3,Prisión,2a - 6a,450
311,Delitos contra la propiedad - Defraudaciones agravadas - Fraude en materiales de construcción,art.174 inc.4,Prisión,2a - 6a,450
312,Delitos contra la propiedad - Defraudaciones agravadas - Fraude en perjuicio de la administración pública,art. 174 inc 5,Prisión,2a - 6a,450
331,"Delitos contra la seguridad pública - Incendio, explosión e inundación - Incendio, explosión e inundación con peligro común para los bienes",art. 186 inc. 1,Reclusión o Prisión,3a - 10a,450
351,Delitos contra la seguridad pública - Tráfico de medicamentos o mercaderías peligrosas para la salud,200,Reclusión o Prisión,3a - 10a,450
352,Delitos contra la seguridad pública - Suministro infiel de medicamentos,201,Reclusión o Prisión,3a - 10a,450
366,Delitos contra la seguridad de la Nación - Cospiración para la traición,216,Reclusión o Prisión,1a - 8a,450
367,Delitos contra la seguridad de la Nación - Actos contra aliados,218,Reclusión o Prisión,1a - 8a,450
404,Delitos contra la propiedad - Defraudaciones - Retención indebida,173 inc 2 ,Prisión,1m - 6m,450
456,"Delitos contra la propiedad - Defraudaciones - Defraudación por el titular fiduciario, el administrador de fondos comunes o dador de un contrato de leasing",173 inc 12,Prisión,1m - 6m,450
457,"Delitos contra la propiedad - Defraudaciones - Defraudación de un autorizado para ejecutar un inmueble, cuando no corresponde ejecutarlo",173 inc 13,Prisión,1m - 6m,450
458,Delitos contra la propiedad - Defraudaciones - Defraudación de tenedor de letras hipotecarias que no consigna los pagos recibidos,173 inc 14,Prisión,1m - 6m,450
459,Delitos contra la propiedad - Defraudaciones agravadas - Fraude en el desenvolvimiento de un establecimiento o explotación comercial,174 inc 6,Prisión,2a - 6a,450
525,Delitos contra la libertad - Art. 145 bis. Incorporado por Art. 10 de la Ley 26.364,art.  145 bis ,Prisión,4a - 8a,450
526,Delitos contra la libertad - Art. 145 ter. Incorporado por Art. 11 de la Ley 26.364 (inc 2),art.  145 ter,Prisión,5a - 10a,450
527,Delitos contra la libertad - Art. 145 ter. Incorporado por Art. 11 de la Ley 26.364 (inc 3),art.  145 ter,Prisión,5a - 10a,450
528,Delitos contra el orden económico y financiero - Poner en circularción bienes provenientes de un ilícito,art. 303,Prisión,3a - 10a,450
